x S11 S22 LR PLDR
0.07 4.05707e-10 4.04773e-10 8.40812 0.115293
0.14 2.58218e-08 2.57612e-08 8.47094 0.117313
0.28 1.61552e-06 1.61147e-06 8.72735 0.125758
0.41 1.53543e-05 1.53115e-05 9.13527 0.139768
0.55 8.42743e-05 8.39993e-05 9.79132 0.163393
0.69 0.0003005 0.000299308 10.7406 0.1987
0.82 0.000749657 0.000745989 12.0065 0.245209
0.96 0.00159086 0.00158088 14.0637 0.314509
1.1 0.00269524 0.00267316 17.5257 0.411287
1.24 0.00359845 0.00355873 24.2872 0.554968
1.38 0.00364137 0.00358341 40.5185 0.802245
1.51 0.0027793 0.00271178 83.1071 1.2297
1.65 0.0021073 0.00204503 174.984 1.49958
1.79 0.00402189 0.00396995 139.367 0.649893
1.92 0.00867934 0.00860364 87.309 0.438055
2.13 0.017703 0.0174467 60.6767 0.729016
2.27 0.0219009 0.0213436 60.8153 1.2886
2.48 0.0226796 0.0209827 82.4925 3.88643
2.75 0.0236748 0.0200864 111.333 8.19976
3.03 0.0534109 0.0443271 63.1922 9.29409
3.3 0.0835907 0.0637381 50.8344 13.475
3.64 0.0990142 0.0617218 52.2434 23.201
3.99 0.168904 0.0901272 35.7591 30.4121
4.33 0.278408 0.143775 23.5366 31.8896
4.74 0.340829 0.127804 20.5963 45.4567
5.23 0.599026 0.211712 12.1118 47.773
5.71 0.771278 0.228664 9.14523 54.2646
6.26 0.997506 0.299433 7.59118 53.8246
6.88 1.25289 0.378544 7.32655 53.5936
7.56 1.43888 0.529973 8.49061 46.1643
8.25 1.42013 0.578113 11.5705 42.1378
9.01 1.53898 0.771177 13.7587 33.2361
9.9 1.75361 0.998116 14.5556 27.4552
10.86 2.13219 1.06905 13.0637 33.2101
11.89 2.4554 1.23818 12.3901 32.9549
13.06 2.82644 1.33207 12.9512 35.9352
14.3 3.21799 1.58045 14.6553 34.1264
15.68 3.40285 1.51937 16.965 38.2649
17.19 4.3476 1.91065 14.664 38.9399
18.94 4.93493 2.16061 15.3606 39.0995
20.76 5.94265 2.58105 16.3119 39.4383
22.83 7.78023 3.76365 14.3585 34.7941
25.09 9.62661 4.55452 13.7794 35.7664
27.5 11.5102 5.20834 14.3175 37.6938
30.25 15.4581 7.17911 12.2852 36.5726
33.28 17.0244 8.01362 13.8906 35.9885
36.58 20.009 9.61854 13.8587 35.0703
40.22 23.9763 10.8186 14.1385 37.8149
44.21 28.9575 14.2083 14.036 34.1688
48.61 35.0659 16.8136 13.8856 35.1822
53.47 42.2296 20.8243 13.8849 33.9477
58.81 50.6829 25.5345 13.9904 32.9956
