theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 8.2496 5.24728e-17 -3.29469e-18 0.000935794 5.2812e-17 8.24347 -0.00242354 -4.99832e-18 -3.02826e-18 0.00242354 8.24347 4.58985e-18 0.000935805 7.00865e-18 -4.65214e-18 8.23778 6.36065e-18 -3.99375e-19 0.000113435 6.40176e-18 0.999256 -0.000293777 -6.05886e-19 -3.6708e-19 0.000293777 0.999256 5.56373e-19 0.000113436 8.49574e-19 -5.63923e-19 0.998567
0.1 1.91397e-05 8.24946 8.9285e-07 -7.73629e-10 0.000935757 8.92854e-07 8.24333 -0.00242351 -1.59164e-09 1.17465e-09 0.00242351 8.24333 1.38785e-05 0.000935768 -1.83602e-09 -1.38785e-05 8.23764 1.08231e-07 -9.37793e-11 0.000113432 1.08232e-07 0.999256 -0.000293778 -1.92938e-10 1.42392e-10 0.000293778 0.999256 1.68235e-06 0.000113434 -2.22562e-10 -1.68235e-06 0.998567
0.2 3.82793e-05 8.24905 3.57184e-06 -3.09426e-09 0.000935645 3.57186e-06 8.24292 -0.00242344 -6.36644e-09 4.69829e-09 0.00242344 8.24292 5.55116e-05 0.000935656 -7.34394e-09 -5.55116e-05 8.23723 4.33001e-07 -3.75106e-10 0.000113425 4.33003e-07 0.999256 -0.000293784 -7.71778e-10 5.69555e-10 0.000293784 0.999256 6.72945e-06 0.000113426 -8.90276e-10 -6.72945e-06 0.998567
0.3 5.74188e-05 8.24836 8.03832e-06 -6.96115e-09 0.000935459 8.03835e-06 8.24223 -0.00242331 -1.43241e-08 1.05699e-08 0.00242331 8.24223 0.000124892 0.00093547 -1.65234e-08 -0.000124892 8.23654 9.74535e-07 -8.43943e-10 0.000113411 9.74539e-07 0.999256 -0.000293792 -1.7366e-09 1.28146e-09 0.000293792 0.999256 1.51414e-05 0.000113413 -2.00323e-09 -1.51414e-05 0.998567
0.4 7.65581e-05 8.2474 1.42945e-05 -1.2373e-08 0.000935198 1.42945e-05 8.24127 -0.00242313 -2.54641e-08 1.87879e-08 0.00242313 8.24127 0.000222008 0.000935209 -2.93736e-08 -0.000222008 8.23558 1.73321e-06 -1.50023e-09 0.000113393 1.73322e-06 0.999256 -0.000293805 -3.08753e-09 2.27804e-09 0.000293805 0.999256 2.69186e-05 0.000113394 -3.56156e-09 -2.69186e-05 0.998567
0.5 9.56972e-05 8.24617 2.23435e-05 -1.93282e-08 0.000934863 2.23436e-05 8.24003 -0.00242289 -3.97857e-08 2.93499e-08 0.00242289 8.24003 0.000346843 0.000934874 -4.58938e-08 -0.000346843 8.23435 2.70956e-06 -2.3439e-09 0.000113369 2.70957e-06 0.999256 -0.00029382 -4.82475e-09 3.55922e-09 0.00029382 0.999256 4.20612e-05 0.000113371 -5.56548e-09 -4.20612e-05 0.998567
0.6 0.000114836 8.24466 3.21892e-05 -2.78243e-08 0.000934454 3.21894e-05 8.23852 -0.00242261 -5.7288e-08 4.22531e-08 0.00242261 8.23852 0.000499376 0.000934464 -6.60828e-08 -0.000499376 8.23284 3.90425e-06 -3.37482e-09 0.000113341 3.90427e-06 0.999255 -0.00029384 -6.9485e-09 5.12491e-09 0.00029384 0.999255 6.05696e-05 0.000113342 -8.01523e-09 -6.05696e-05 0.998566
0.7 0.000133974 8.24287 4.38367e-05 -3.78586e-08 0.00093397 4.38369e-05 8.23673 -0.00242227 -7.79698e-08 5.74938e-08 0.00242227 8.23673 0.000679579 0.00093398 -8.9939e-08 -0.000679579 8.23105 5.31813e-06 -4.59289e-09 0.000113306 5.31815e-06 0.999255 -0.000293862 -9.45906e-09 6.97497e-09 0.000293862 0.999255 8.24445e-05 0.000113308 -1.09111e-08 -8.24445e-05 0.998566
0.8 0.000153112 8.24081 5.72915e-05 -4.94278e-08 0.000933413 5.72918e-05 8.23467 -0.00242188 -1.0183e-07 7.50677e-08 0.00242188 8.23467 0.000887423 0.000933421 -1.17461e-07 -0.000887423 8.22899 6.95217e-06 -5.99793e-09 0.000113267 6.9522e-06 0.999254 -0.000293888 -1.23568e-08 9.10926e-09 0.000293888 0.999254 0.000107686 0.000113268 -1.42536e-08 -0.000107686 0.998566
0.9 0.00017225 8.23848 7.25605e-05 -6.25283e-08 0.00093278 7.25608e-05 8.23233 -0.00242144 -1.28867e-07 9.49699e-08 0.00242144 8.23233 0.00112287 0.000932788 -1.48646e-07 -0.00112287 8.22666 8.80751e-06 -7.58978e-09 0.000113222 8.80755e-06 0.999254 -0.000293918 -1.5642e-08 1.15276e-08 0.000293918 0.999254 0.000136296 0.000113223 -1.80429e-08 -0.000136296 0.998565
