x S11 S22 LR PLDR
0.07 4.05711e-10 4.04777e-10 301.825 0.115294
0.14 2.5822e-08 2.57614e-08 45.7089 0.117314
0.28 1.61549e-06 1.61144e-06 13.6709 0.125756
0.41 1.5353e-05 1.53101e-05 10.859 0.139756
0.55 8.42534e-05 8.39785e-05 10.6079 0.163354
0.69 0.000300335 0.000299144 11.2331 0.198603
0.82 0.000748898 0.000745237 12.3672 0.245006
0.96 0.00158802 0.00157808 14.3644 0.314108
1.1 0.00268735 0.00266538 17.8252 0.410588
1.24 0.0035818 0.00354233 24.6651 0.553946
1.38 0.00361423 0.00355676 41.1846 0.801354
1.51 0.00274396 0.00267715 84.7919 1.23244
1.65 0.00205917 0.00199755 179.954 1.51909
1.79 0.00392925 0.00387732 142.94 0.665322
1.92 0.00850556 0.00842958 89.1085 0.448663
2.13 0.0173766 0.0171223 61.7994 0.737224
2.27 0.0214564 0.020905 62.0603 1.30153
2.48 0.0220329 0.0203672 84.7793 3.92863
2.75 0.0228 0.0192712 115.223 8.38776
3.03 0.0515637 0.042681 65.2416 9.42519
3.3 0.0805925 0.0613052 52.5083 13.5924
3.64 0.0948207 0.0585407 54.3135 23.6565
3.99 0.161585 0.0854978 37.2111 30.7943
4.33 0.265725 0.136246 24.5745 32.2109
4.74 0.324112 0.119911 21.6023 45.9888
5.23 0.56675 0.19846 12.7954 48.1293
5.71 0.726618 0.212768 9.75291 54.7006
6.26 0.934918 0.276926 8.15513 54.2968
6.88 1.16315 0.348092 7.93555 53.9331
7.56 1.32311 0.485367 9.25686 46.3233
8.25 1.28856 0.523276 12.7402 42.2381
9.01 1.37651 0.692328 15.338 33.071
9.9 1.55638 0.887127 16.345 27.3889
10.86 1.8583 0.938175 14.9866 32.903
11.89 2.11512 1.06232 14.4242 33.1338
13.06 2.39927 1.13171 15.2907 35.8984
14.3 2.67601 1.31566 17.5945 34.0796
15.68 2.76013 1.22214 20.8535 38.6208
17.19 3.45635 1.5319 18.472 38.5798
18.94 3.82831 1.68109 19.841 38.9738
20.76 4.45391 1.95688 21.7068 38.9504
22.83 5.64748 2.73941 19.7929 34.6741
25.09 6.74994 3.20173 19.6729 35.6544
27.5 7.82604 3.55659 21.0163 37.5085
30.25 10.0196 4.66683 18.9854 36.4471
33.28 10.5508 5.00935 22.3738 35.6131
36.58 11.816 5.7401 23.4999 34.6085
40.22 13.4962 6.24878 25.1019 36.7053
44.21 15.3494 7.65338 26.471 33.457
48.61 17.6236 8.64505 27.6429 34.1796
53.47 19.7237 10.1055 29.744 32.244
58.81 21.6035 11.1733 32.835 31.822
