theta 2pi*dcos S11 S12 S13 S14 S21 S22 S23 S24 S31 S32 S33 S34 S41 S42 S43 S44 S12_norm S13_norm S14_norm S21_norm S22_norm S23_norm S24_norm S31_norm S32_norm S33_norm S34_norm S41_norm S42_norm S43_norm S44_norm
0 2.39246e-06 8.17273 4.44875e-17 5.14511e-18 0.000905151 4.40408e-17 8.16669 -0.0022988 -5.14676e-18 4.06384e-18 0.0022988 8.16669 5.10184e-18 0.000905159 5.80977e-18 -5.41667e-18 8.16108 5.44341e-18 6.29546e-19 0.000110753 5.38875e-18 0.999261 -0.000281277 -6.29748e-19 4.97244e-19 0.000281277 0.999261 6.24252e-19 0.000110754 7.10872e-19 -6.62773e-19 0.998575
0.1 1.91397e-05 8.17259 7.82419e-07 -7.47468e-10 0.000905116 7.82424e-07 8.16656 -0.00229878 -1.53183e-09 1.13713e-09 0.00229878 8.16656 1.37843e-05 0.000905123 -1.75768e-09 -1.37843e-05 8.16094 9.57369e-08 -9.14603e-11 0.00011075 9.57375e-08 0.999261 -0.000281279 -1.87435e-10 1.3914e-10 0.000281279 0.999261 1.68665e-06 0.000110751 -2.1507e-10 -1.68665e-06 0.998575
0.2 3.82793e-05 8.17218 3.13013e-06 -2.98964e-09 0.00090501 3.13015e-06 8.16615 -0.00229871 -6.12723e-09 4.54822e-09 0.00229871 8.16615 5.51349e-05 0.000905017 -7.0306e-09 -5.51349e-05 8.16053 3.83023e-07 -3.65831e-10 0.000110743 3.83025e-07 0.999261 -0.000281284 -7.49766e-10 5.56549e-10 0.000281284 0.999261 6.74666e-06 0.000110744 -8.60309e-10 -6.74666e-06 0.998574
0.3 5.74188e-05 8.1715 7.04451e-06 -6.72579e-09 0.000904833 7.04455e-06 8.16547 -0.00229858 -1.37859e-08 1.02323e-08 0.00229858 8.16547 0.000124045 0.000904841 -1.58184e-08 -0.000124045 8.15985 8.62082e-07 -8.23079e-10 0.00011073 8.62087e-07 0.999261 -0.000281293 -1.68707e-09 1.2522e-09 0.000281293 0.999261 1.51802e-05 0.000110731 -1.9358e-09 -1.51802e-05 0.998574
0.4 7.65581e-05 8.17055 1.25278e-05 -1.19547e-08 0.000904586 1.25279e-05 8.16451 -0.00229841 -2.45073e-08 1.81879e-08 0.00229841 8.16451 0.000220502 0.000904593 -2.81204e-08 -0.000220502 8.1589 1.53329e-06 -1.46315e-09 0.000110713 1.5333e-06 0.999261 -0.000281304 -2.99947e-09 2.22603e-09 0.000281304 0.999261 2.69874e-05 0.000110714 -3.44168e-09 -2.69874e-05 0.998574
0.5 9.56972e-05 8.16932 1.95833e-05 -1.86748e-08 0.000904268 1.95834e-05 8.16328 -0.00229819 -3.82907e-08 2.84128e-08 0.00229819 8.16328 0.00034449 0.000904275 -4.39357e-08 -0.00034449 8.15767 2.39717e-06 -2.28597e-09 0.000110691 2.39719e-06 0.999261 -0.00028132 -4.68714e-09 3.47798e-09 0.00028132 0.999261 4.21687e-05 0.000110692 -5.37813e-09 -4.21687e-05 0.998574
0.6 0.000114836 8.16783 2.8215e-05 -2.68839e-08 0.00090388 2.82151e-05 8.16178 -0.00229792 -5.51353e-08 4.09041e-08 0.00229792 8.16178 0.000495988 0.000903886 -6.32632e-08 -0.000495988 8.15618 3.4544e-06 -3.29144e-09 0.000110663 3.45442e-06 0.99926 -0.000281338 -6.75031e-09 5.00795e-09 0.000281338 0.99926 6.07246e-05 0.000110664 -7.74542e-09 -6.07246e-05 0.998574
0.7 0.000133974 8.16606 3.84279e-05 -3.65793e-08 0.000903421 3.84281e-05 8.16001 -0.0022976 -7.50399e-08 5.56585e-08 0.0022976 8.16001 0.000674969 0.000903427 -8.61016e-08 -0.000674969 8.15441 4.70581e-06 -4.47944e-09 0.000110631 4.70584e-06 0.99926 -0.00028136 -9.18925e-09 6.81583e-09 0.00028136 0.99926 8.26554e-05 0.000110632 -1.05438e-08 -8.26554e-05 0.998573
0.8 0.000153112 8.16401 5.0228e-05 -4.77581e-08 0.000902892 5.02283e-05 8.15797 -0.00229723 -9.80033e-08 7.26718e-08 0.00229723 8.15797 0.000881403 0.000902897 -1.12449e-07 -0.000881403 8.15236 6.15236e-06 -5.84983e-09 0.000110594 6.1524e-06 0.999259 -0.000281385 -1.20043e-08 8.90148e-09 0.000281385 0.999259 0.000107962 0.000110595 -1.37737e-08 -0.000107962 0.998573
0.9 0.00017225 8.1617 6.3622e-05 -6.04165e-08 0.000902293 6.36224e-05 8.15565 -0.00229682 -1.24024e-07 9.19396e-08 0.00229682 8.15565 0.00111525 0.000902296 -1.42304e-07 -0.00111525 8.15005 7.79519e-06 -7.40244e-09 0.000110552 7.79524e-06 0.999259 -0.000281414 -1.51958e-08 1.12648e-08 0.000281414 0.999259 0.000136645 0.000110553 -1.74356e-08 -0.000136645 0.998573
1 0.000191387 8.15911 7.86178e-05 -7.45507e-08 0.000901623 7.86182e-05 8.15306 -0.00229635 -1.531e-07 1.13456e-07 0.00229635 8.15306 0.00137648 0.000901626 -1.75664e-07 -0.00137648 8.14747 9.63558e-06 -9.1371e-09 0.000110505 9.63563e-06 0.999258 -0.000281446 -1.87643e-08 1.39055e-08 0.000281446 0.999258 0.000168705 0.000110505 -2.15297e-08 -0.000168705 0.998572
1.1 0.000210523 8.15626 9.52238e-05 -9.0156e-08 0.000900882 9.52244e-05 8.1502 -0.00229583 -1.85229e-07 1.37216e-07 0.00229583 8.1502 0.00166505 0.000900885 -2.12526e-07 -0.00166505 8.14461 1.16749e-05 -1.10536e-08 0.000110453 1.1675e-05 0.999258 -0.000281481 -2.27101e-08 1.68234e-08 0.000281481 0.999258 0.000204143 0.000110453 -2.60568e-08 -0.000204143 0.998572
