case,shape,ka,backend,time_s,reference,status,source,note
гексагональная призма ka=2,гексагональная призма,2.0,BEM-CPP legacy,2.72,"same shape, full181",measured,runs/poster_full181_fix/hex_ka2_ref2_n181.json,"ref=2, matvec/time from BEM JSON"
гексагональная призма ka=2,гексагональная призма,2.0,adda_ocl,0.266461,"same shape, full181",measured,runs/adda_ocl_benchmark/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
гексагональная призма ka=5,гексагональная призма,5.0,BEM-CPP legacy,4.33,"same shape, full181",measured,runs/spfft_benchmark/hex_ka5_ref2_fmm_tol1e-3.json,"ref=2, matvec/time from BEM JSON"
гексагональная призма ka=5,гексагональная призма,5.0,adda_ocl,0.509034,"same shape, full181",measured,runs/adda_ocl_benchmark/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
гексагональная призма ka=10,гексагональная призма,10.0,BEM-CPP legacy,17.22,"same shape, full181",measured,runs/current_time_refresh/hex_ka10_ref3_n181.json,"ref=3, matvec/time from BEM JSON"
гексагональная призма ka=10,гексагональная призма,10.0,adda_ocl,4.355662,"same shape, full181",measured,runs/adda_ocl_benchmark/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
гексагональная призма ka=15,гексагональная призма,15.0,BEM-CPP legacy,39.69,"same shape, full181",measured,runs/poster_full181_fix/hex_ka15_ref4_n181.json,"ref=4, matvec/time from BEM JSON"
гексагональная призма ka=15,гексагональная призма,15.0,adda_ocl,20.974743,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
гексагональная призма ka=20,гексагональная призма,20.0,BEM-CPP legacy,35.04,"same shape, full181",measured,runs/current_time_refresh/hex_ka20_ref4_n181_current.json,"ref=4, matvec/time from BEM JSON"
гексагональная призма ka=20,гексагональная призма,20.0,adda_ocl,69.849751,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
гексагональная призма ka=30,гексагональная призма,30.0,BEM-CPP legacy,184.221,"same shape, full181",measured,runs/current_time_refresh/hex_ka30_ref5_single_n181_batch4auto.json,"ref=5, matvec/time from BEM JSON"
гексагональная призма ka=30,гексагональная призма,30.0,adda_ocl,919.20309,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/hex_ka30/elapsed_s,"single orientation, dpl=20"
пылевая частица ka=2,пылевая частица,2.0,BEM-CPP legacy,40.42,"same shape, full181",measured,runs/current_time_refresh/dust_ka2_f800_pmchwt_n181.json,"OBJ f800 surface mesh, PMCHWT; matvec/time from BEM JSON"
пылевая частица ka=2,пылевая частица,2.0,adda_ocl,0.46323,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/dust_ka2_m1p6_dpl20_scaled/elapsed_s,"single orientation, dpl=20"
пылевая частица ka=5,пылевая частица,5.0,BEM-CPP legacy,246.86,"same shape, full181",measured,runs/current_time_refresh/dust_ka5_f800_pmchwt_n181.json,"OBJ f800 surface mesh, PMCHWT; matvec/time from BEM JSON"
пылевая частица ka=5,пылевая частица,5.0,adda_ocl,1.149961,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/dust_ka5_m1p6_dpl20_scaled/elapsed_s,"single orientation, dpl=20"
пылевая частица ka=5.709,пылевая частица,5.709,BEM-CPP legacy,112.67,"same shape, full181",measured,runs/poster_muller2_adda_check/dust_ka5p709_f800_a8b6g8_muller2b.json,"OBJ f800 surface mesh, muller2-balanced; matvec/time from BEM JSON"
пылевая частица ka=5.709,пылевая частица,5.709,adda_ocl,3.377,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/dust_ka5p709_scaled/elapsed_s,"single orientation, dpl=20"
пылевая частица ka=7.13628,пылевая частица,7.13628175,BEM-CPP legacy,9.83,"same shape, full181",measured,runs/poster_muller2_adda_check/dust_ka7p136_n13116_f800_single_muller2b_noprec.json,"OBJ f800 surface mesh, muller2-balanced; matvec/time from BEM JSON"
пылевая частица ka=7.13628,пылевая частица,7.13628175,adda_ocl,1.503088,"same shape, full181",measured,runs/adda_ocl_benchmark/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
пылевая частица ka=10,пылевая частица,10.0,BEM-CPP legacy,265.553,"same shape, full181",measured,runs/current_time_refresh/dust_ka10_gmsh3400_muller2b_n181.json,"OBJ gmsh3400 surface mesh, muller2-balanced; matvec/time from BEM JSON"
пылевая частица ka=10,пылевая частица,10.0,adda_ocl,26.029858,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/dust_ka10_m1p6_dpl20_scaled/elapsed_s,"single orientation, dpl=20"
сфера ka=2,сфера,2.0,BEM-CPP legacy,10.17,"same shape, full181",measured,runs/poster_mie_fixed/test_leafp2p_ka2_ref3.json,"ref=3, matvec/time from BEM JSON"
сфера ka=2,сфера,2.0,adda_ocl,0.323433,"same shape, full181",measured,runs/adda_ocl_benchmark/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
сфера ka=5,сфера,5.0,BEM-CPP legacy,7.65,"same shape, full181",measured,runs/fix_check/sphere_ka5_ref4_pmchwt_skip_unused_slots_gpu2.json,"ref=4, matvec/time from BEM JSON"
сфера ka=5,сфера,5.0,adda_ocl,0.567351,"same shape, full181",measured,runs/adda_ocl_benchmark/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
сфера ka=10,сфера,10.0,BEM-CPP legacy,17.91,"same shape, full181",measured,runs/current_time_refresh/sphere_ka10_ref4_n181.json,"ref=4, matvec/time from BEM JSON"
сфера ka=10,сфера,10.0,adda_ocl,3.166786,"same shape, full181",measured,runs/adda_ocl_benchmark/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
сфера ka=15,сфера,15.0,BEM-CPP legacy,32.27,"same shape, full181",measured,runs/current_time_refresh/sphere_ka15_ref4_n181.json,"ref=4, matvec/time from BEM JSON"
сфера ka=15,сфера,15.0,adda_ocl,24.207104,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
сфера ka=20,сфера,20.0,BEM-CPP legacy,62.35,"same shape, full181",measured,runs/current_time_refresh/sphere_ka20_ref4_n181_d4.json,"ref=4, matvec/time from BEM JSON"
сфера ka=20,сфера,20.0,adda_ocl,91.279108,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/summary_remote_172_16_1_168.csv,"single orientation, dpl=20"
сфера ka=25,сфера,25.0,BEM-CPP legacy,283.072,"same shape, full181",measured,runs/current_time_refresh/sphere_ka25_ref4_n181_d4.json,"ref=4, matvec/time from BEM JSON"
сфера ka=25,сфера,25.0,adda_ocl,854.755286,"same shape, full181",measured,runs/adda_ocl_benchmark_ext/sphere_ka25/elapsed_s,"single orientation, dpl=20"
