ref,n,time_s,solve_s,matvecs,scale,mean_rel,max_rel,shape_l2
ref3,1.05,9.86,7.86,80,1.0356461547115843,0.007502556872300206,0.018874431886617082,0.001083144644630514
ref3,1.1,10.91,8.41,81,1.0093625216780233,0.01448849540252093,0.06142777801019189,0.0013002886617151101
ref3,1.2,12.0,9.39,89,0.9961855230962022,0.015820369588395194,0.05966728891018662,0.001955923219586541
ref3,1.3116,11.77,9.98,95,0.9914483103366091,0.01777666245287158,0.04242018597496865,0.002145605600536478
ref3,1.5,11.83,10.29,99,0.9908476435460026,0.010197528930253108,0.023749931411009617,0.002522125997299986
ref3,1.8,14.07,11.9,113,0.9860566588897417,0.007929846842467142,0.018436944114005656,0.005286601455801562
ref3,2.0,14.61,12.59,120,0.9717287517394005,0.013667568821290707,0.03668558494067715,0.005684332131618057
ref3,3.0,24.03,22.72,203,0.9694612184133516,0.0827311017345226,0.19504978987279278,0.16630981504580494
ref3,5.0,48.0,45.47,379,0.9771285170348237,0.017882379557167795,0.051265551834929514,0.015979113178606168
ref3,7.0,126.18,122.01,963,0.970138443576849,0.0803100910515332,0.2128158100255565,0.028031338819234437
ref5,3.0,1136.03,1130.26,629,0.9976765068492455,0.005797874638551314,0.014723162006904328,0.010724470593773919
