shape,ka,mesh_label,component,rel_l2,rel_l2_percent,pass10,status,bem_file,reference
гексагональная призма,5.0,ref2,M11,0.0069160014235543,0.69160014235543,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka5_ref2.json,ADDA-OCL
гексагональная призма,5.0,ref2,M12,0.0257128705246564,2.57128705246564,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka5_ref2.json,ADDA-OCL
гексагональная призма,5.0,ref2,M34,0.0105092517217641,1.0509251721764101,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka5_ref2.json,ADDA-OCL
гексагональная призма,5.0,ref2,gate,0.0257128705246564,2.57128705246564,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka5_ref2.json,ADDA-OCL
гексагональная призма,5.0,ref2,max main floor,0.0257128705246564,2.57128705246564,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka5_ref2.json,ADDA-OCL
гексагональная призма,10.0,ref3,M11,0.0577089898228885,5.77089898228885,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka10_ref3.json,ADDA-OCL
гексагональная призма,10.0,ref3,M12,0.0615835500708416,6.158355007084159,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka10_ref3.json,ADDA-OCL
гексагональная призма,10.0,ref3,M34,0.0514524215597073,5.14524215597073,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka10_ref3.json,ADDA-OCL
гексагональная призма,10.0,ref3,gate,0.0617109416867387,6.17109416867387,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka10_ref3.json,ADDA-OCL
гексагональная призма,10.0,ref3,max main floor,0.0617109416867387,6.17109416867387,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka10_ref3.json,ADDA-OCL
гексагональная призма,15.0,ref4,M11,0.0330476046717746,3.30476046717746,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka15_ref4.json,ADDA-OCL
гексагональная призма,15.0,ref4,M12,0.0147134000347121,1.4713400034712099,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka15_ref4.json,ADDA-OCL
гексагональная призма,15.0,ref4,M34,0.0264372335751414,2.64372335751414,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka15_ref4.json,ADDA-OCL
гексагональная призма,15.0,ref4,gate,0.0330476046717746,3.30476046717746,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka15_ref4.json,ADDA-OCL
гексагональная призма,15.0,ref4,max main floor,0.0330476046717746,3.30476046717746,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka15_ref4.json,ADDA-OCL
гексагональная призма,20.0,ref4-q7d5,M11,0.0217611167305762,2.17611167305762,True,PASS,runs/accuracy_fix_20260619_parallel4/hex20_ref4_accurate_noedge.json,ADDA-OCL
гексагональная призма,20.0,ref4-q7d5,M12,0.0166932641812636,1.66932641812636,True,PASS,runs/accuracy_fix_20260619_parallel4/hex20_ref4_accurate_noedge.json,ADDA-OCL
гексагональная призма,20.0,ref4-q7d5,M34,0.0178440065556731,1.78440065556731,True,PASS,runs/accuracy_fix_20260619_parallel4/hex20_ref4_accurate_noedge.json,ADDA-OCL
гексагональная призма,20.0,ref4-q7d5,gate,0.0224503011965097,2.24503011965097,True,PASS,runs/accuracy_fix_20260619_parallel4/hex20_ref4_accurate_noedge.json,ADDA-OCL
гексагональная призма,20.0,ref4-q7d5,max main floor,0.0224503011965097,2.24503011965097,True,PASS,runs/accuracy_fix_20260619_parallel4/hex20_ref4_accurate_noedge.json,ADDA-OCL
гексагональная призма,30.0,ref5,M11,0.0843932741709196,8.43932741709196,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka30_ref5.json,ADDA-OCL
гексагональная призма,30.0,ref5,M12,0.0191100972238958,1.9110097223895801,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka30_ref5.json,ADDA-OCL
гексагональная призма,30.0,ref5,M34,0.0170863827063169,1.70863827063169,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka30_ref5.json,ADDA-OCL
гексагональная призма,30.0,ref5,gate,0.0843932741709196,8.43932741709196,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka30_ref5.json,ADDA-OCL
гексагональная призма,30.0,ref5,max main floor,0.0843932741709196,8.43932741709196,True,PASS,runs/recompute_convergence_meta_20260619/hex_ka30_ref5.json,ADDA-OCL
пылевая частица,5.0,gmsh5200/6000,M11,0.0310113607160284,3.10113607160284,True,PASS,runs/production_matrix_15_complexop/dust_ka5_gmsh4200_complexop_balanced_q7_d5_tol1e3.json,ADDA-OCL
